rank0,csv_row_index0
0,65842
1,60087
2,121013
3,73711
4,771
5,72478
6,297
7,73754
8,2199
9,108810
10,97109
11,22236
12,15584
13,95237
14,60431
15,50395
16,114682
17,35169
18,100039
19,95862
20,124222
21,23548
22,86136
23,27298
24,80718
25,63965
26,109505
27,74473
28,6011
29,66207
30,26956
31,110104
32,113364
33,3212
34,112627
35,106802
36,16694
37,36631
38,87184
39,114031
40,8927
41,54416
42,129350
43,129377
44,52395
45,64386
46,85460
47,75961
48,22413
49,126746
50,104488
51,118165
52,50706
53,49705
54,109879
55,26420
56,84678
57,78212
58,93283
59,2288
60,130187
61,47996
62,7219
63,108099
64,120294
65,41389
66,126494
67,111615
68,22793
69,46490
70,58783
71,86530
72,51265
73,112323
74,96527
75,119714
76,120441
77,1470
78,9927
79,54887
80,89184
81,52707
82,56941
83,44412
84,103528
85,26995
86,92536
87,31714
88,45101
89,11897
90,45737
91,51492
92,155
93,112621
94,48088
95,93218
96,53541
97,47921
98,19419
99,128010
100,94683
101,29153
102,106969
103,65183
104,114945
105,71081
106,57169
107,53379
108,26847
109,61266
110,81107
111,75980
112,4795
113,8340
114,94873
115,20493
116,37577
117,125168
118,63039
119,27974
120,110485
121,93865
122,43402
123,78889
124,105337
125,113773
126,92034
127,71302
128,93512
129,1974
130,28558
131,29099
132,86769
133,28407
134,81529
135,127044
136,68373
137,28815
138,98290
139,56168
140,66597
141,51382
142,34606
143,21709
144,57482
145,39268
146,18999
147,21068
148,26132
149,39656
150,40676
151,95055
152,92844
153,22163
154,70048
155,62040
156,22007
157,70140
158,81430
159,106483
160,28875
161,109904
162,67106
163,28859
164,15102
165,85672
166,62801
167,1287
168,101305
169,5105
170,99845
171,98871
172,68748
173,116971
174,78428
175,31617
176,107364
177,91668
178,10164
179,50867
180,91147
181,107858
182,79025
183,99348
184,72760
185,37376
186,82749
187,68815
188,64088
189,72875
190,31570
191,4703
192,49485
193,107082
194,116317
195,71529
196,34422
197,93926
198,59543
199,89464
200,125269
201,59792
202,59487
203,102078
204,83039
205,101546
206,86631
207,34536
208,118006
209,56499
210,39861
211,83875
212,21456
213,104617
214,102381
215,12060
216,125776
217,100237
218,110853
219,6241
220,72342
221,105898
222,126540
223,57007
224,129996
225,17431
226,121946
227,91901
228,60648
229,61726
230,85985
231,99512
232,11767
233,116192
234,113711
235,33838
236,73379
237,42560
238,44401
239,112115
240,116493
241,86623
242,19157
243,64022
244,48524
245,121170
246,70421
247,23125
248,63272
249,10747
250,28936
251,69381
252,26720
253,19611
254,81902
255,51477
256,84270
257,46227
258,81980
259,80398
260,110786
261,111100
262,19365
263,48653
264,87483
265,22102
266,35949
267,43703
268,22734
269,8574
270,105810
271,105522
272,125729
273,76736
274,130274
275,36159
276,79898
277,66584
278,43850
279,98761
280,112567
281,113273
282,100371
283,97817
284,8771
285,53587
286,2098
287,4967
288,104948
289,86178
290,62934
291,68981
292,16815
293,29353
294,2432
295,3086
296,42308
297,7311
298,85361
299,126173
300,117398
301,75324
302,37920
303,9742
304,123324
305,74147
306,103881
307,60635
308,86364
309,118551
310,29043
311,125093
312,46021
313,127658
314,86492
315,41756
316,16435
317,1641
318,83077
319,3723
320,71324
321,56205
322,100614
323,4339
324,105231
325,46331
326,54006
327,1663
328,4036
329,96741
330,15376
331,59693
332,42367
333,44914
334,123941
335,63572
336,8995
337,29152
338,17997
339,71887
340,103983
341,83286
342,82191
343,105859
344,68465
345,25766
346,65691
347,116855
348,77836
349,59719
350,20872
351,3932
352,576
353,62071
354,115026
355,33227
356,23052
357,76208
358,83789
359,113973
360,76979
361,91201
362,50195
363,2953
364,114792
365,40285
366,3386
367,105233
368,19657
369,79629
370,8108
371,78074
372,3174
373,55023
374,83738
375,103549
376,97806
377,9461
378,59736
379,115493
380,42676
381,88146
382,32530
383,69120
384,12736
385,11507
386,81102
387,19219
388,116861
389,121087
390,82900
391,73479
392,30540
393,111052
394,21917
395,73506
396,120771
397,70936
398,77419
399,79010
400,33454
401,105325
402,70201
403,25125
404,123280
405,75495
406,28965
407,76765
408,71000
409,52519
410,6028
411,61649
412,91466
413,24115
414,30779
415,44410
416,485
417,91588
418,118756
419,126609
420,19994
421,12946
422,111319
423,126009
424,53428
425,10393
426,39413
427,68592
428,91741
429,69170
430,31950
431,4733
432,14685
433,115446
434,31423
435,10989
436,23722
437,59744
438,62555
439,51226
440,61777
