rank0,csv_row_index0
0,48700
1,73036
2,82349
3,32279
4,71732
5,11352
6,23302
7,10304
8,122935
9,59942
10,73137
11,9916
12,85400
13,20663
14,10685
15,84745
16,63607
17,124788
18,32528
19,52995
20,104768
21,1107
22,96441
23,58794
24,77638
25,111749
26,18361
27,113810
28,62834
29,127204
30,16794
31,92480
32,85971
33,63730
34,119220
35,9631
36,2934
37,4101
38,29099
39,80399
40,110649
41,108708
42,49691
43,71027
44,126576
45,29090
46,29124
47,3379
48,91892
49,64561
50,58624
51,18325
52,5179
53,50706
54,42241
55,68981
56,125765
57,36162
58,44513
59,46107
60,40531
61,108159
62,99749
63,69682
64,15781
65,56458
66,90637
67,12819
68,117837
69,124689
70,124397
71,61904
72,43895
73,4854
74,6297
75,29694
76,6939
77,85713
78,114706
79,68324
80,17134
81,37012
82,14742
83,6358
84,15534
85,127467
86,38443
87,41389
88,96808
89,124783
90,64368
91,100470
92,111089
93,103435
94,123941
95,56133
96,23768
97,72785
98,76800
99,23430
100,92405
101,108812
102,82260
103,4806
104,19573
105,106086
106,82300
107,118681
108,67629
109,89344
110,11701
111,33890
112,98916
113,108652
114,97215
115,46946
116,35328
117,38755
118,126466
119,47522
120,93403
121,8431
122,17242
123,111058
124,105462
125,3794
126,6379
127,1094
128,128793
129,74863
130,82559
131,38597
132,22237
133,100094
134,51526
135,109968
136,73021
137,87721
138,120362
139,2953
140,7542
141,26921
142,124470
143,53566
144,76828
145,12598
146,9616
147,18828
148,30965
149,84313
150,49929
151,16783
152,91194
153,125831
154,45877
155,23397
156,122641
157,95570
158,53887
159,35899
160,55837
161,5959
162,31401
163,15871
164,59146
165,22422
166,73897
167,29894
168,52940
169,75096
170,34692
171,120644
172,29917
173,108300
174,83303
175,47107
176,36643
177,57783
178,115699
179,21507
180,91215
181,98946
182,97978
183,87955
184,67566
185,66375
186,118232
187,60381
188,7537
189,7649
190,48642
191,43699
192,95337
193,113214
194,88195
195,108169
196,108906
197,25597
198,99170
199,77237
200,22923
201,9689
202,95970
203,48564
204,110674
205,29630
206,34612
207,31796
208,23503
209,19080
210,65619
211,56357
212,85294
213,128868
214,89397
215,62181
216,58770
217,47775
218,8921
219,29626
220,33402
221,13112
222,84017
223,56450
224,103469
225,105119
226,32706
227,56089
228,51865
229,109831
230,110255
231,74063
232,88633
233,7051
234,69977
235,49424
236,109484
237,60506
238,68932
239,88703
240,109922
241,39974
242,59102
243,97132
244,20481
245,13046
246,30190
247,30805
248,127331
249,34304
250,90142
251,88368
252,83693
253,9513
254,40757
255,102663
256,96177
257,87521
258,23131
259,26913
260,67519
261,17108
262,50313
263,77819
264,50937
265,118604
266,14508
267,86541
268,81030
269,124027
270,120569
271,39041
272,88127
273,9927
274,69933
275,42379
276,19843
277,61777
278,61512
279,114086
280,98612
281,94631
282,121115
283,76574
284,15050
285,105220
286,91201
287,9412
288,128523
289,5308
290,11478
291,5135
292,108945
293,62693
294,104238
295,112249
296,40625
297,54361
298,29514
299,1457
300,115545
301,125612
302,23948
303,70994
304,44599
305,64615
306,3174
307,71478
308,107569
309,50068
310,99130
311,63567
312,40957
313,44477
314,114443
315,38382
316,84113
317,2391
318,91910
319,88167
320,58458
321,83670
322,28876
323,49059
324,83404
325,109710
326,94786
327,101415
328,77264
329,126497
330,38421
331,73105
332,112213
333,17142
334,54126
335,106391
336,3895
337,127516
338,116940
339,27452
340,50646
341,129333
342,76959
343,84582
344,54625
345,91454
346,81612
347,45652
348,112427
349,99923
350,46454
351,83559
352,28472
353,121430
354,20493
355,22116
356,37136
357,48306
358,44459
359,103082
360,64730
361,2993
362,4428
363,72359
364,51325
365,74588
366,130074
367,33638
368,99899
369,124610
370,44873
371,98044
372,26203
373,59477
374,19735
375,57034
376,44574
377,82772
378,113384
379,81180
380,115825
381,59734
382,32215
383,18447
384,18336
385,86763
386,101002
387,66054
388,68145
389,49905
390,49412
391,13600
392,90526
393,77285
394,101635
395,121148
396,127352
397,32564
398,94524
399,53981
400,117935
401,120497
402,93304
403,75076
404,70358
405,13164
406,91388
407,33380
408,108042
409,10408
410,49693
411,109054
412,49410
413,28058
414,85206
415,96266
416,124283
417,100872
418,21625
419,79229
420,13433
421,63096
422,43988
423,30172
424,113902
425,78385
426,40207
427,110726
428,46592
429,58362
430,25388
431,15882
432,84820
433,59166
434,75969
435,3155
436,37024
437,38058
438,107720
439,77126
440,25765
441,67073
442,31267
443,121518
444,26365
445,4940
446,24297
447,58004
448,86136
449,49863
450,82582
451,87747
452,124083
453,90816
454,59985
455,751
456,20490
457,31714
458,60397
459,70619
460,59419
461,24882
462,63885
463,23155
464,12481
465,68124
466,51740
467,96085
468,17896
469,111183
470,65386
471,124705
472,17257
473,89378
474,120893
475,55402
476,14606
477,30149
478,2104
479,53584
480,20192
481,114634
482,4365
483,78597
484,30125
485,129981
486,80114
487,62188
488,97819
489,94160
490,107310
491,27333
492,51276
493,99776
494,19611
495,35771
496,67455
497,3113
498,65786
499,85427
500,103881
501,22233
502,50325
503,128383
504,49652
505,19375
506,75764
507,52902
508,89776
509,26723
510,124816
511,105664
512,83788
513,102785
514,77683
515,115847
516,44550
517,67217
518,65210
519,47501
520,92955
521,65170
522,41254
523,127966
524,43936
525,97932
526,112852
527,389
528,80095
529,55595
530,60350
531,53256
532,38919
533,36555
534,125982
535,128060
536,2947
537,112830
538,69648
539,58815
540,116123
541,13827
542,54832
543,11742
544,27874
545,25082
546,70365
547,6627
548,28047
549,99021
550,57944
551,22417
552,123377
553,12905
554,26947
555,70639
556,91466
557,11582
558,120613
559,96209
560,85164
561,126070
562,78228
563,53009
564,64071
565,31756
566,90212
567,118815
568,102750
569,17987
570,105004
571,48332
572,36689
573,128491
574,23500
575,94647
576,9680
577,2241
578,88739
579,16391
580,14083
581,23719
582,119229
583,119207
584,35390
585,105436
586,56902
587,14291
588,104154
589,17210
590,9235
591,108747
592,112450
593,80694
594,67616
595,74679
596,61467
597,79328
598,47566
599,4912
600,18357
601,16447
602,31438
603,122928
604,124719
605,50357
606,97952
607,79155
608,103992
609,13444
610,127055
611,75307
612,31599
613,97202
614,19102
615,91164
616,111627
617,127673
618,125176
619,20497
620,98641
621,116401
622,2897
623,28066
624,109844
625,24898
626,51338
627,106657
628,89655
629,64492
