rank0,csv_row_index0
0,31271
1,27307
2,41148
3,12300
4,121534
5,64063
6,113480
7,68486
8,93956
9,111965
10,19402
11,51114
12,67143
13,93617
14,75232
15,110084
16,55485
17,40344
18,84763
19,35836
20,25726
21,25217
22,117524
23,119529
24,105597
25,69052
26,27478
27,120675
28,6976
29,45797
30,6846
31,107457
32,55670
33,88476
34,45734
35,43499
36,285
37,27947
38,114970
39,6811
40,70292
41,33543
42,127125
43,6771
44,126619
45,94180
46,71851
47,8474
48,49350
49,23344
50,70155
51,129515
52,104493
53,68493
54,103879
55,10991
56,53398
57,120159
58,65592
59,28899
60,16145
61,62092
62,98741
63,56737
64,6278
65,23245
66,10250
67,44513
68,81600
69,75451
70,117103
71,54788
72,104183
73,32948
74,29620
75,18847
76,81523
77,5959
78,128570
79,53180
80,16699
81,95336
82,115540
83,110539
84,97004
85,62797
86,10640
87,127397
88,44346
89,80575
90,118149
91,57776
92,24146
93,89908
94,58797
95,94787
96,111727
97,90413
98,74781
99,61592
100,71488
101,105282
102,33283
103,53256
104,123389
105,77014
106,129499
107,12750
108,67210
109,119689
110,53146
111,88821
112,10660
113,91372
114,78440
115,36421
116,103539
117,92405
118,75506
119,130273
120,71953
121,25379
122,58558
123,73021
124,13661
125,41184
126,44652
127,69310
128,68051
129,121313
130,72976
131,44228
132,39225
133,9986
134,127428
135,79785
136,113245
137,126879
138,114713
139,57231
140,116144
141,968
142,41959
143,35775
144,124465
145,104410
146,77126
147,3701
148,113389
149,99945
150,74320
151,46167
152,53665
153,84316
154,24319
155,30429
156,13275
157,16593
158,118423
159,54654
160,57483
161,505
162,52135
163,62117
164,75924
165,90584
166,108708
167,111983
168,63325
169,120549
170,33220
171,89268
172,18410
173,120956
174,74476
175,68416
176,39662
177,74643
178,99531
179,84554
180,18225
181,96657
182,13181
183,2377
184,1381
185,11614
186,101924
187,73618
188,14832
189,119135
190,14087
191,126289
192,66552
193,22354
194,63364
195,92617
196,104892
197,4683
198,6373
199,15196
200,42529
201,18020
202,78948
203,49108
204,39570
205,58243
206,89602
207,126249
208,51042
209,88914
210,52559
211,32886
212,18306
213,27289
214,93120
215,84517
216,130145
217,117956
218,48365
219,49914
220,50565
221,107299
222,6076
223,80054
224,129712
225,78660
226,20553
227,98219
228,105656
229,10684
230,119627
231,121668
232,11640
233,81288
234,84756
235,13314
236,17427
237,125534
238,124379
239,1815
240,95396
241,114870
242,115341
243,108447
244,95840
245,8052
246,111627
247,58423
248,19560
249,63337
250,42542
251,94563
252,105843
253,109922
254,117019
255,130220
256,116312
257,9080
258,4354
259,123487
260,18782
261,88695
262,110219
263,44059
264,100597
265,29541
266,103508
267,109846
268,97238
269,32641
270,39149
271,92527
272,122436
273,99153
274,48414
275,56271
276,80530
277,128226
278,60285
279,29374
280,116255
281,103185
282,5135
283,106861
284,107067
285,48297
286,122893
287,24297
288,102985
289,16197
290,73595
291,97151
292,70
293,93370
294,121354
295,20282
296,101182
297,102998
298,33402
299,46348
300,93598
301,117587
302,123159
303,72857
304,80850
305,118592
306,45178
307,124860
308,129548
309,11089
310,95099
311,110620
312,72545
313,47487
314,130225
315,46893
316,81350
317,40505
318,4806
319,10388
320,92832
321,24310
322,47653
323,128491
324,50266
325,30876
326,88484
327,119346
328,21526
329,75146
330,128957
331,127982
332,69763
333,52077
334,97705
335,6888
336,68894
337,45470
338,53409
339,111733
340,9911
341,44682
342,10071
343,96860
344,44045
345,123422
346,43699
347,110023
348,84974
349,47181
350,117552
351,15244
352,118351
353,6472
354,31677
355,5634
356,114363
357,111577
358,21714
359,71396
360,109843
361,14727
362,63564
363,11181
364,51446
365,113733
366,56458
367,115624
368,100601
369,77647
370,59752
371,70340
372,5837
373,113901
374,88214
375,2067
376,6560
377,38767
378,34932
379,37517
380,14548
381,125176
382,23284
383,87283
384,38755
385,95885
386,80399
387,111927
388,27058
389,84791
390,71066
391,8952
392,108891
393,3281
394,68221
395,19490
396,112249
397,110852
398,43642
399,70803
400,34222
401,46461
402,23244
403,123825
404,52158
405,72681
406,61154
407,20934
408,53719
409,39310
410,27188
411,65771
412,98441
413,80592
414,49395
415,118888
416,43556
417,21657
418,126311
419,18359
420,40337
421,116117
422,22874
423,41264
424,85277
425,73162
426,10011
427,125294
428,85635
429,91010
430,115993
431,8130
432,76128
433,50583
434,127899
435,50856
436,8410
437,55576
438,106979
439,84908
440,77066
441,69016
442,12250
443,65446
444,20222
445,7025
446,43503
447,12519
448,94894
449,27102
450,32693
451,23
452,44097
453,60590
454,81587
455,17033
456,69178
457,91608
458,106897
459,18663
460,114106
461,13611
462,24673
463,85520
464,5621
465,98394
466,60808
467,42069
468,98964
469,49035
470,115694
471,71400
472,46964
473,113883
474,64626
475,22686
476,36575
477,18909
478,116207
479,83171
480,40694
481,45137
482,111505
483,70759
484,24189
485,24636
486,37955
487,13981
488,79530
489,39574
490,12240
491,32867
492,126848
493,4767
494,44339
495,5745
496,859
497,103781
498,88461
499,82592
500,28151
501,50031
502,128151
503,78766
504,96262
505,100684
506,128803
507,66376
508,23036
509,92434
510,4665
511,29090
512,119350
513,19950
514,81414
515,99514
516,80145
517,126466
518,76376
519,81533
520,77467
521,8219
522,48722
523,40060
524,111463
525,18747
526,126156
527,5179
528,27915
529,69896
530,71067
531,130303
532,5954
533,98462
534,19786
535,86795
536,111309
537,58371
538,81885
539,42724
540,80647
541,10068
542,8714
543,58680
544,81651
545,48196
546,31562
547,69161
548,128290
549,120056
550,63867
551,120179
552,64417
553,2894
554,107575
555,67744
556,30154
557,34094
558,114017
559,58669
560,61021
561,130314
562,5120
563,59766
564,1694
565,42247
566,68653
567,104913
568,37897
569,83360
570,39817
571,84990
572,98869
573,112413
574,20288
575,6447
576,84166
577,51715
578,126374
579,13750
580,58794
581,45325
582,64054
583,127966
584,116785
585,104862
586,104101
587,48700
588,86230
589,81373
590,85812
591,63081
592,76278
593,60116
594,80265
595,18451
596,93016
597,72526
598,11525
599,50052
600,103541
601,6937
602,60619
603,29591
604,87721
605,128389
606,10249
607,126433
608,117935
609,46780
610,32706
611,57729
612,59937
613,119664
614,5775
615,117994
616,90355
617,1032
618,11846
619,14742
620,85803
621,66373
622,109340
623,40915
624,85648
625,77770
626,22558
627,26365
628,7863
629,27214
630,49329
631,44315
632,3103
633,28066
634,20829
635,129674
636,45877
637,94763
638,106472
639,85689
640,126828
641,75031
642,24756
643,99572
644,14776
645,88918
646,24302
647,42545
648,70639
649,45684
650,54039
651,2983
652,40625
653,66059
654,22288
655,27921
656,50186
657,18482
658,104132
659,60737
660,12481
661,122581
662,39771
663,88103
664,76728
665,21909
666,128126
667,47971
668,125488
669,68145
670,116774
671,77056
672,117000
673,62936
674,112332
675,116983
676,21029
677,97551
678,63563
679,35168
680,24458
681,32986
682,83569
683,62677
684,88056
685,66963
686,93727
687,73874
688,56177
689,52795
690,16949
691,34479
692,54268
693,19131
694,93906
695,125358
696,108843
697,43179
698,80431
699,124245
700,1298
701,72980
702,126334
703,40708
704,101428
705,37622
706,93465
707,85539
708,31737
709,20522
710,83893
711,47038
712,126762
713,61192
714,90637
715,37438
716,42246
717,8531
718,50076
719,62417
720,5819
721,58767
722,97568
723,117338
724,59647
725,103793
726,68567
727,2499
728,105446
729,2216
730,47034
731,49261
732,65714
733,78385
734,89031
735,16875
736,24551
737,73149
738,64076
739,4423
740,7223
741,50095
742,20864
743,47391
744,125551
745,65278
746,104432
747,79324
748,110634
749,35271
750,102208
751,30439
752,91032
753,53829
754,5762
755,57749
756,27565
757,110304
758,44436
759,12154
760,5789
761,122648
762,80565
763,114695
764,98608
765,39144
766,115949
767,113642
768,45194
769,24176
770,93148
771,29986
772,39451
773,90440
774,129622
775,21924
776,104794
777,108203
778,73257
779,109902
780,115419
781,49013
782,66295
783,19476
784,39903
785,42330
786,115648
787,89718
788,114263
789,118197
790,31557
791,14320
792,3983
793,101348
794,103997
795,83887
796,77544
797,64228
798,62834
799,15561
800,35509
801,6124
802,47098
803,112457
804,5896
805,117135
806,25296
807,127631
808,59764
809,35888
810,67806
811,70690
812,58608
813,13609
814,5429
815,3876
816,118855
817,11505
818,3207
819,64400
820,95308
821,95002
822,88312
823,70282
824,116970
825,3195
826,75467
827,52796
828,56664
829,44737
830,115744
831,71574
832,63029
833,36860
834,105498
835,101225
836,85371
837,110639
838,35870
839,34155
840,81792
841,119892
842,122576
843,88088
844,24748
845,33973
846,47622
847,77277
848,74923
849,107089
850,104277
851,93228
852,6198
853,96661
854,31137
855,117993
856,14417
857,75497
858,10560
859,50275
860,83354
861,41448
862,115566
863,565
864,27919
865,110522
866,56450
867,114731
868,44089
869,10170
870,124705
871,16502
872,38913
873,35417
874,91189
875,40831
876,78375
877,99647
878,47254
879,40200
880,6792
881,4310
882,52035
883,98016
884,126965
885,40412
886,67471
887,42466
888,115836
889,41256
890,87235
891,113379
892,48429
893,15169
894,13303
895,34058
896,57276
897,92847
898,50205
899,77732
900,97796
901,57393
902,97022
903,115447
904,36765
905,61790
906,70490
907,29865
908,109588
909,91182
910,66340
911,109772
912,111598
913,87204
914,8282
915,127638
916,111691
917,37796
918,119767
919,37899
920,67539
921,100534
922,82725
923,76867
924,95870
925,13384
926,11414
927,125610
928,42490
929,17154
930,87191
931,50087
932,96209
933,108676
934,130036
935,118363
936,43443
937,90517
938,89938
939,59205
940,96348
941,60972
942,128121
943,100068
944,46645
945,3248
946,123597
947,103329
948,13734
949,127010
950,115937
951,4139
952,33890
953,104953
954,38279
955,6095
956,44093
957,12678
958,53691
959,85849
960,8700
961,90142
962,38203
963,90866
964,88636
965,56036
966,66524
967,4987
968,123448
969,7748
970,55803
971,37012
972,65501
973,75786
974,101631
975,94786
976,43988
977,116060
978,16539
979,75548
980,75618
981,28081
982,34403
983,39780
984,73837
985,71077
986,1293
987,104699
988,35004
989,110218
990,107471
991,69019
992,13602
993,129126
994,126422
995,63395
996,106312
997,84428
998,39666
999,58299
1000,20102
1001,4438
1002,70583
1003,18943
1004,39344
1005,5212
1006,1218
1007,41878
1008,41312
1009,37627
1010,112617
1011,2996
1012,90668
1013,26745
1014,28436
1015,84925
1016,3830
1017,15366
1018,82299
1019,654
1020,35315
1021,118168
1022,108747
1023,99309
1024,65881
1025,69405
1026,106570
1027,20566
1028,42832
1029,43246
1030,116142
1031,101751
1032,57229
1033,37483
1034,94247
1035,72359
1036,119577
1037,5425
1038,43762
1039,46215
1040,63815
